INFO:root: timestamp: 2018-10-11 15:34:27.468284, status_code: 200, request_epoch_(sec): 0.0408329963684082
INFO:root: timestamp: 2018-10-11 15:34:30.470336, status_code: 200, request_epoch_(sec): 0.04137396812438965
INFO:root: timestamp: 2018-10-11 15:34:33.470714, status_code: 200, request_epoch_(sec): 0.0408780574798584
INFO:root: timestamp: 2018-10-11 15:34:36.471899, status_code: 200, request_epoch_(sec): 0.03947925567626953
INFO:root: timestamp: 2018-10-11 15:34:39.476845, status_code: 200, request_epoch_(sec): 0.040524959564208984
INFO:root: timestamp: 2018-10-11 15:34:42.478399, status_code: 200, request_epoch_(sec): 0.04042983055114746
INFO:root: timestamp: 2018-10-11 15:34:45.484274, status_code: 200, request_epoch_(sec): 0.040923118591308594
INFO:root: timestamp: 2018-10-11 15:34:48.491965, status_code: 200, request_epoch_(sec): 0.043807029724121094
INFO:root: timestamp: 2018-10-11 15:34:51.488526, status_code: 200, request_epoch_(sec): 0.038588762283325195
INFO:root: timestamp: 2018-10-11 15:34:54.489817, status_code: 200, request_epoch_(sec): 0.03850817680358887
INFO:root: timestamp: 2018-10-11 15:34:57.498872, status_code: 200, request_epoch_(sec): 0.043229103088378906
INFO:root: timestamp: 2018-10-11 15:35:00.496513, status_code: 200, request_epoch_(sec): 0.03957009315490723
INFO:root: timestamp: 2018-10-11 15:35:03.502234, status_code: 200, request_epoch_(sec): 0.04015803337097168
INFO:root: timestamp: 2018-10-11 15:35:06.794512, status_code: 200, request_epoch_(sec): 0.3268013000488281
INFO:root: timestamp: 2018-10-11 15:35:09.511282, status_code: 200, request_epoch_(sec): 0.04063701629638672
INFO:root: timestamp: 2018-10-11 15:35:12.513140, status_code: 200, request_epoch_(sec): 0.04124188423156738
INFO:root: timestamp: 2018-10-11 15:35:15.520788, status_code: 200, request_epoch_(sec): 0.043213844299316406
INFO:root: timestamp: 2018-10-11 15:35:18.519625, status_code: 200, request_epoch_(sec): 0.040704965591430664
INFO:root: timestamp: 2018-10-11 15:35:21.520674, status_code: 200, request_epoch_(sec): 0.04095578193664551
INFO:root: timestamp: 2018-10-11 15:35:24.525787, status_code: 200, request_epoch_(sec): 0.04028677940368652
INFO:root: timestamp: 2018-10-11 15:35:27.529145, status_code: 200, request_epoch_(sec): 0.04139208793640137
INFO:root: timestamp: 2018-10-11 15:35:30.533929, status_code: 200, request_epoch_(sec): 0.04124593734741211
INFO:root: timestamp: 2018-10-11 15:35:33.536609, status_code: 200, request_epoch_(sec): 0.04038715362548828
INFO:root: timestamp: 2018-10-11 15:35:36.540650, status_code: 200, request_epoch_(sec): 0.04122495651245117
INFO:root: timestamp: 2018-10-11 15:35:39.541056, status_code: 200, request_epoch_(sec): 0.04040980339050293
INFO:root: timestamp: 2018-10-11 15:35:42.542572, status_code: 200, request_epoch_(sec): 0.04123687744140625
INFO:root: timestamp: 2018-10-11 15:35:45.549772, status_code: 200, request_epoch_(sec): 0.0428159236907959
INFO:root: timestamp: 2018-10-11 15:35:48.550077, status_code: 200, request_epoch_(sec): 0.04272603988647461
INFO:root: timestamp: 2018-10-11 15:35:51.554270, status_code: 200, request_epoch_(sec): 0.041255950927734375
INFO:root: timestamp: 2018-10-11 15:35:54.558121, status_code: 200, request_epoch_(sec): 0.040730953216552734
INFO:root: timestamp: 2018-10-11 15:35:57.564251, status_code: 200, request_epoch_(sec): 0.04317903518676758
INFO:root: timestamp: 2018-10-11 15:36:00.563390, status_code: 200, request_epoch_(sec): 0.04144287109375
INFO:root: timestamp: 2018-10-11 15:36:03.563786, status_code: 200, request_epoch_(sec): 0.041043996810913086
INFO:root: timestamp: 2018-10-11 15:36:06.568065, status_code: 200, request_epoch_(sec): 0.04158806800842285
INFO:root: timestamp: 2018-10-11 15:36:09.571928, status_code: 200, request_epoch_(sec): 0.04245805740356445
INFO:root: timestamp: 2018-10-11 15:36:12.573227, status_code: 200, request_epoch_(sec): 0.0420527458190918
INFO:root: timestamp: 2018-10-11 15:36:15.577437, status_code: 200, request_epoch_(sec): 0.04126787185668945
INFO:root: timestamp: 2018-10-11 15:36:18.576156, status_code: 200, request_epoch_(sec): 0.03982090950012207
